column_name,description
org_id,Unique identifier for the customer organization
company_name,Legal business name of the customer company
monthly_revenue,Monthly recurring revenue in USD (MRR) — the amount billed each month
contract_period,Full contract duration shown as start and end date in format MM/DD/YYYY - MM/DD/YYYY
active_users_last_quarter,Number of distinct users who logged in at least once during the last calendar quarter
licensed_seats,Total number of user seats the customer has licensed under their current contract
total_logins_90_days,Cumulative login events across all users over the trailing 90-day window
ticket_volume_ytd,Total support tickets opened by this customer since the start of the current year
num_prior_contracts,Count of historical contracts this customer has had with us prior to the current one
subscription_tier,Customer pricing tier: Starter for small teams, Growth for mid-market, Enterprise for large orgs
product_package,The specific product bundle purchased: Core Platform, Growth Suite, Enterprise Suite, or Core Platform + Analytics
feature_score,A 0 to 100 composite score measuring breadth of product feature adoption across all modules
did_churn,Binary churn indicator: 1 if the customer did not renew after this contract, 0 if they renewed
